910106,ต. เกาะสาหร่าย,Ko Sarai,9101,อ. เมืองสตูล,Mueang Satun,91,จ. สตูล,Satun,99.350,6.551
230601,ต. เกาะหมาก,Ko Mak,2306,อ. เกาะกูด,Ko Kut,23,จ. ตราด,Trat,102.376,11.805
230601,ต. เกาะหมาก,Ko Mak,2306,อ. เกาะกูด,Ko Kut,23,จ. ตราด,Trat,102.525,11.857
840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,99.677,9.681
850502,ต. กำพวน,Kamphuan,8505,อ. สุขสำราญ,Suk Samran,85,จ. ระนอง,Ranong,98.392,9.401
920222,ต. เกาะนก,,9202,อ. กันตัง,Kantang,92,จ. ตรัง,Trang,99.475,7.272
840301,ต. ดอนสัก,Don Sak,8403,อ. ดอนสัก,Don Sak,84,จ. สุราษฎร์ธานี,Surat Thani,99.660,9.310
860706,ต. ด่านสวี,Dan Sawi,8607,อ. สวี,Sawi,86,จ. ชุมพร,Chumphon,99.249,10.247
840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,99.680,9.699
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,อ. เมืองสตูล,Mueang Satun,91,จ. สตูล,Satun,99.833,6.675
840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,99.676,9.709
230601,ต. เกาะหมาก,Ko Mak,2306,อ. เกาะกูด,Ko Kut,23,จ. ตราด,Trat,102.398,11.815
230601,ต. เกาะหมาก,Ko Mak,2306,อ. เกาะกูด,Ko Kut,23,จ. ตราด,Trat,102.402,11.819
840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,99.662,9.696
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,อ. เมืองสตูล,Mueang Satun,91,จ. สตูล,Satun,99.164,6.542
230601,ต. เกาะหมาก,Ko Mak,2306,อ. เกาะกูด,Ko Kut,23,จ. ตราด,Trat,102.523,11.858
